Fecha,Ultimo,Apertura,Maximo,Minimo,Vol.,% var.
17.05.2024,205.65,198.78,207.12,197.88,,4.13%
16.05.2024,197.5,198.82,200.32,196.78,,-0.67%
15.05.2024,198.83,201.32,202.48,196.6,,-0.92%
14.05.2024,200.68,195.7,201.47,192.8,,2.36%
13.05.2024,196.05,200.5,204.55,195.15,22.12K,-2.14%
10.05.2024,200.33,201,203.58,198.85,,-1.65%
09.05.2024,203.7,202.3,205.4,202.3,0.00K,1.72%
08.05.2024,200.25,201.65,201.65,200.2,0.01K,1.83%
07.05.2024,196.65,194.1,197.3,192.15,27.47K,0.74%
06.05.2024,195.2,200.1,201.5,194.55,24.50K,-2.76%
03.05.2024,200.75,205.95,208.45,200.05,27.32K,-2.60%
02.05.2024,206.1,216.5,216.8,204.5,30.90K,-4.58%
01.05.2024,216,214.65,218,212.75,24.63K,-0.30%
30.04.2024,216.65,227.4,227.9,213.4,30.86K,-7.24%
29.04.2024,233.55,234,234,234,0.02K,4.26%
26.04.2024,224,226,226.95,221.35,18.79K,-3.43%
25.04.2024,231.95,230.85,231.5,230.85,0.03K,1.53%
24.04.2024,228.45,229.25,229.25,226.35,0.07K,1.76%
23.04.2024,224.5,226.65,226.65,224.1,0.13K,-1.38%
22.04.2024,227.65,231.5,234.5,223.5,24.03K,-1.81%
19.04.2024,231.85,233.25,238.9,228.8,26.95K,-3.34%
18.04.2024,239.85,252.1,253.7,239.5,5.47K,-3.27%
17.04.2024,247.95,237.4,249.3,236.4,8.75K,4.73%
16.04.2024,236.75,235.75,239.5,232.85,12.61K,2.25%
15.04.2024,231.55,221.65,235.45,219.3,15.67K,3.07%
12.04.2024,224.65,220.95,236.2,219.5,31.23K,1.95%
11.04.2024,220.35,215.3,221.8,214.1,26.11K,2.66%
10.04.2024,214.65,213.85,215.9,211.55,24.66K,0.52%
09.04.2024,213.55,209.6,214.75,209.6,40.36K,1.16%
08.04.2024,211.1,212.15,216.4,209.45,45.97K,-0.66%
05.04.2024,212.5,205.1,214,204.2,45.07K,2.78%
04.04.2024,206.75,206.3,207.95,202.5,32.10K,1.55%
03.04.2024,203.6,196.7,207.15,196.3,40.34K,2.96%
02.04.2024,197.75,190.95,198.4,190.75,39.26K,3.10%
01.04.2024,191.8,188,192.7,187.7,19.15K,1.56%
28.03.2024,188.85,191.05,191.2,187.55,21.24K,-0.94%
27.03.2024,190.65,188.05,192.5,187.15,32.26K,1.38%
26.03.2024,188.05,185.65,189.45,185.3,21.86K,1.29%
25.03.2024,185.65,185.15,186.25,183.35,19.00K,0.43%
22.03.2024,184.85,186,188.2,184.55,21.36K,-0.46%
21.03.2024,185.7,183.85,188.4,183.05,23.12K,1.81%
20.03.2024,182.4,182.65,184.4,181.65,14.72K,-0.36%
19.03.2024,183.05,181.25,183.35,179.35,21.06K,0.66%
18.03.2024,181.85,182.75,186.15,181.4,16.94K,-0.55%
15.03.2024,182.85,183.95,185.1,182.05,15.28K,-4.44%
14.03.2024,191.35,190,191.25,189.05,0.02K,-0.16%
13.03.2024,191.65,195.7,196,192,0.04K,-1.92%
12.03.2024,195.4,196.7,197.9,195.35,0.01K,0.54%
11.03.2024,194.35,193.3,194.9,191.5,0.03K,1.54%
08.03.2024,191.4,195.85,195.85,191,0.00K,-3.50%
07.03.2024,198.35,186.7,194.75,184.75,30.46K,2.01%
06.03.2024,194.45,194.8,194.9,190,0.04K,-0.28%
05.03.2024,195,198.75,198.75,195.8,0.03K,-1.22%
04.03.2024,197.4,199.2,199.4,199.2,0.02K,1.86%
01.03.2024,193.8,193.55,193.55,192,0.02K,-1.05%
29.02.2024,195.85,181.1,185.7,180.25,19.19K,1.29%
28.02.2024,193.35,192.8,193.4,192.05,0.10K,-0.36%
